図鑑番号,アイテム名,カテゴリ,調査状況,入手方法・補足,売値,出典URL,備考,取得状況,植付季節,収穫季節,使用材料,対応加工機,加工機候補,最終更新
51,カーネーションの種,種・苗,確定,,,,,未取得,春,春,,,,2026/8/23
52,水芭蕉の種,種・苗,確定,,,,,未取得,春,春,,,,2026/8/23
53,アサガオの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
54,カスミソウの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
55,マリーゴールドの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
56,スズランの種,種・苗,確定,,,,,未取得,夏,夏,,,,2026/8/23
57,ハイビスカスの種,種・苗,確定,,,,,未取得,夏,夏,,,,2026/8/23
58,バラの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
59,ヒマワリの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
60,ラベンダーの種,種・苗,確定,,,,,未取得,夏,夏,,,,2026/8/23
61,ダリアの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
62,コスモスの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
63,キクの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
64,スイセンの種,種・苗,確定,,,,,取得済,冬,冬,,,,2026/8/23
65,パンジーの種,種・苗,確定,,,,,取得済,冬,冬,,,,2026/8/23
66,ローズマリーの種,種・苗,確定,,,,,取得済,冬,冬,,,,2026/8/23
67,サクランボの苗木,種・苗,確定,,,,,取得済,春・夏・秋・冬,春,,,,2026/8/23
68,梅の苗木,種・苗,確定,,,,,取得済,春・夏・秋・冬,春,,,,2026/8/23
69,モモの苗木,種・苗,確定,,,,,取得済,春・夏・秋・冬,夏,,,,2026/8/23
70,マンゴーの苗木,種・苗,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
71,ブドウの苗木,種・苗,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
72,バナナの苗木,種・苗,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
73,カカオの苗木,種・苗,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
74,カキの苗木,種・苗,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
75,ナシの苗木,種・苗,確定,,,,,取得済,春・夏・秋・冬,秋,,,,2026/8/23
76,リンゴの苗木,種・苗,確定,,,,,取得済,春・夏・秋・冬,秋,,,,2026/8/23
77,ミカンの苗木,種・苗,確定,,,,,取得済,春・夏・秋・冬,冬,,,,2026/8/23
78,レモンの苗木,種・苗,確定,,,,,未取得,春・夏・秋・冬,冬,,,,2026/8/23
79,ユズの苗木,種・苗,確定,,,,,未取得,春・夏・秋・冬,冬,,,,2026/8/23
80,泥の種,種・苗,確定,,,,,取得済,春・夏・秋・冬,春・夏・秋・冬,,,,2026/8/23
81,木材,素材,確定,,3,,,取得済,,,,,,2026/8/23
82,扱いやすい木材,素材,確定,,3,,,取得済,,,,,,2026/8/23
83,堅い木材,素材,確定,,3,,,取得済,,,,,,2026/8/23
84,竹,素材,確定,,3,,,取得済,,,,,,2026/8/23
85,石材,素材,確定,,3,,,取得済,,,,,,2026/8/23
86,重い石材,素材,確定,,3,,,取得済,,,,,,2026/8/23
87,堅い石材,素材,確定,,3,,,取得済,,,,,,2026/8/23
88,石炭,素材,確定,,3,,,取得済,,,,,,2026/8/23
89,粘土,素材,確定,,1,,,取得済,,,,,,2026/8/23
90,苔,素材,確定,,3,,,取得済,,,,,,2026/8/23
91,雑草,素材,確定,,0,,,取得済,,,,,,2026/8/23
92,銅鉱石,素材,確定,,5,,,取得済,,,,,,2026/8/23
93,鉄鉱石,素材,確定,,12,,,取得済,,,,,,2026/8/23
94,金鉱石,素材,確定,,20,,,取得済,,,,,,2026/8/23
95,隕鉄,素材,確定,,30,,,取得済,,,,,,2026/8/23
96,岩塩,素材,確定,,3,,,取得済,,,,,,2026/8/23
97,ガラス片,素材,確定,,4,,,取得済,,,,,,2026/8/23
98,ふきのとう,採取物,確定,,37,,,取得済,,春,,,,2026/8/23
99,ミツバ,採取物,確定,,37,,,取得済,,春,,,,2026/8/23
100,タラの芽,採取物,確定,,45,,,取得済,,春,,,,2026/8/23
101,ワラビ,採取物,確定,,22,,,取得済,,春,,,,2026/8/23
102,つくし,採取物,確定,,15,,,取得済,,春,,,,2026/8/23
103,タンポポ,採取物,確定,,10,,,取得済,,春,,,,2026/8/23
104,ホテイアオイ,採取物,確定,,10,,,取得済,,夏,,,,2026/8/23
105,カブトムシ,採取物,確定,,600,,,取得済,,夏,,,,2026/8/23
106,クワガタムシ,採取物,確定,,600,,,取得済,,夏,,,,2026/8/23
107,ヤマモモ,採取物,確定,,22,,,取得済,,夏,,,,2026/8/23
108,キイチゴ,採取物,確定,,22,,,取得済,,夏,,,,2026/8/23
109,ササノコ,採取物,確定,,3,,,取得済,,夏,,,,2026/8/23
110,ユリ,採取物,確定,,15,,,取得済,,夏,,,,2026/8/23
111,ユリ根,採取物,確定,,45,,,取得済,,秋,,,,2026/8/23
112,ビワ,採取物,確定,,45,,,取得済,,夏,,,,2026/8/23
113,彼岸花,採取物,確定,,22,,,取得済,,秋,,,,2026/8/23
114,アケビ,採取物,確定,,22,,,取得済,,秋,,,,2026/8/23
115,ギンナン,採取物,確定,,30,,,取得済,,秋,,,,2026/8/23
116,山椒,採取物,確定,,30,,,取得済,,秋,,,,2026/8/23
117,自然薯,採取物,確定,,75,,,取得済,,秋,,,,2026/8/23
118,クルミ,採取物,確定,,30,,,取得済,,秋,,,,2026/8/23
119,マツタケ,採取物,確定,,300,,,取得済,,秋,,,,2026/8/23
120,クコの実,採取物,確定,,30,,,取得済,,冬,,,,2026/8/23
121,フユイチゴ,採取物,確定,,22,,,取得済,,冬,,,,2026/8/23
122,タケノコ,採取物,確定,,75,,,取得済,,春,,,,2026/8/23
123,まつぼっくり,採取物,確定,,5,,,取得済,,,,,,2026/8/23
124,ドングリ,採取物,確定,,5,,,取得済,,,,,,2026/8/23
125,クリ,採取物,確定,,5,,,取得済,,,,,,2026/8/23
126,スギの実,採取物,確定,,5,,,取得済,,,,,,2026/8/23
127,ヒノキの実,採取物,確定,,5,,,取得済,,,,,,2026/8/23
128,竹の樹液,採取物,確定,,15,,,取得済,,,,,,2026/8/23
129,マツ脂,採取物,確定,,15,,,取得済,,,,,,2026/8/23
130,酸っぱい樹液,採取物,確定,,15,,,取得済,,,,,,2026/8/23
131,甘い樹液,採取物,確定,,14,,,取得済,,,,,,2026/8/23
132,ねばねば樹液,採取物,確定,,15,,,取得済,,,,,,2026/8/23
133,いい香りの樹液,採取物,確定,,15,,,取得済,,,,,,2026/8/23
134,カシワの葉,採取物,確定,,5,,,取得済,,,,,,2026/8/23
135,草の実,採取物,確定,,0,,,取得済,,,,,,2026/8/23
136,草の根,採取物,確定,,0,,,取得済,,,,,,2026/8/23
137,埋められたコイン,採取物,確定,,0,,,取得済,,,,,,2026/8/23
138,イノシシのウンチ,採取物,確定,,0,,,取得済,,,,,,2026/8/23
139,シカのウンチ,採取物,確定,,,,,取得済,,,,,,2026/8/23
140,アスパラガス,作物,確定,,,,,取得済,春,春,,,,2026/8/23
141,タマネギ,作物,確定,,,,,取得済,春,春,,,,2026/8/23
142,サヤエンドウ,作物,確定,,,,,取得済,春,春,,,,2026/8/23
143,エンドウ豆,作物,確定,,,,,取得済,春,春,,,,2026/8/23
144,カブ,作物,確定,,,,,取得済,春,春,,,,2026/8/23
145,ジャガイモ,作物,確定,,,,,取得済,春,春,,,,2026/8/23
146,ラディッシュ,作物,確定,,,,,取得済,春,春,,,,2026/8/23
147,キャベツ,作物,確定,,,,,未取得,春,春,,,,2026/8/23
148,レタス,作物,確定,,,,,取得済,春,春,,,,2026/8/23
149,ニンジン,作物,確定,,,,,取得済,春,春,,,,2026/8/23
150,イチゴ,作物,確定,,,,,取得済,春,春,,,,2026/8/23
151,白ネギ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
152,トマト,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
153,ナス,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
154,ピーマン,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
155,カボチャ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
156,キュウリ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
157,トウモロコシ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
158,ショウガ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
159,ニンニク,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
160,スイカ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
161,メロン,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
162,パイナップル,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
163,ブルーベリー,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
164,小麦,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
165,ホップ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
166,サトウキビ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
167,もやし,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
168,エダマメ,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
169,大豆,作物,確定,,,,,取得済,夏,秋,,,,2026/8/23
170,ソバ,作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
171,サトイモ,作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
172,サツマイモ,作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
173,シイタケ,作物,確定,,,,,未取得,秋,秋,,,,2026/8/23
174,シメジ,作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
175,キクラゲ,作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
176,オリーブ,作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
177,ゴマ,作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
178,ハクサイ,作物,確定,,,,,取得済,冬,冬,,,,2026/8/23
179,ダイコン,作物,確定,,,,,取得済,冬,冬,,,,2026/8/23
180,ホウレンソウ,作物,確定,,,,,取得済,冬,冬,,,,2026/8/23
181,お茶,作物,確定,,,,,取得済,春,春,,,,2026/8/23
182,桑の葉,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
183,桑の実,作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
184,お米,作物,確定,,,,,取得済,春,夏・秋,,,,2026/8/23
185,ワサビ,作物,確定,,,,,取得済,春・夏,春・夏,,,,2026/8/23
186,レンコン,作物,確定,,,,,取得済,秋・冬,秋・冬,,,,2026/8/23
187,祟られタマネギ,祟られ作物,確定,,,,,未取得,春,春,,,,2026/8/23
188,祟られカブ,祟られ作物,確定,,,,,未取得,春,春,,,,2026/8/23
189,祟られキャベツ,祟られ作物,確定,,,,,未取得,春,春,,,,2026/8/23
190,祟られイチゴ,祟られ作物,確定,,,,,未取得,春,春,,,,2026/8/23
191,祟られ白ネギ,祟られ作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
192,祟られトマト,祟られ作物,確定,,,,,未取得,夏,夏,,,,2026/8/23
193,祟られキュウリ,祟られ作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
194,祟られトウモロコシ,祟られ作物,確定,,,,,未取得,夏,夏,,,,2026/8/23
195,祟られショウガ,祟られ作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
196,祟られスイカ,祟られ作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
197,祟られ小麦,祟られ作物,確定,,,,,取得済,夏,夏,,,,2026/8/23
198,祟られソバ,祟られ作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
199,祟られサトイモ,祟られ作物,確定,,,,,未取得,秋,秋,,,,2026/8/23
200,祟られ大豆,祟られ作物,確定,,,,,未取得,秋,秋,,,,2026/8/23
201,祟られオリーブ,祟られ作物,確定,,,,,取得済,秋,秋,,,,2026/8/23
202,祟られハクサイ,祟られ作物,確定,,,,,未取得,冬,冬,,,,2026/8/23
203,祟られダイコン,祟られ作物,確定,,,,,取得済,冬,冬,,,,2026/8/23
204,祟られホウレンソウ,祟られ作物,確定,,,,,取得済,冬,冬,,,,2026/8/23
205,カモミール,花,確定,,,,,取得済,春,春,,,,2026/8/23
206,ヒヤシンス,花,確定,,,,,取得済,春,春,,,,2026/8/23
207,アヤメ,花,確定,,,,,未取得,春,春,,,,2026/8/23
208,チューリップ,花,確定,,,,,取得済,春,春,,,,2026/8/23
209,なでしこ,花,確定,,,,,取得済,春,春,,,,2026/8/23
210,ポピー,花,確定,,,,,取得済,春,春,,,,2026/8/23
211,勿忘草,花,確定,,,,,取得済,春,春,,,,2026/8/23
212,カーネーション,花,確定,,,,,未取得,春,春,,,,2026/8/23
213,水芭蕉,花,確定,,,,,未取得,春,春,,,,2026/8/23
214,アサガオ,花,確定,,,,,取得済,夏,夏,,,,2026/8/23
215,カスミソウ,花,確定,,,,,取得済,夏,夏,,,,2026/8/23
216,マリーゴールド,花,確定,,,,,取得済,夏,夏,,,,2026/8/23
217,スズラン,花,確定,,,,,未取得,夏,夏,,,,2026/8/23
218,ハイビスカス,花,確定,,,,,未取得,夏,夏,,,,2026/8/23
219,バラ,花,確定,,,,,取得済,夏,夏,,,,2026/8/23
220,ヒマワリ,花,確定,,,,,取得済,夏,夏,,,,2026/8/23
221,ラベンダー,花,確定,,,,,未取得,夏,夏,,,,2026/8/23
222,ダリア,花,確定,,,,,取得済,秋,秋,,,,2026/8/23
223,コスモス,花,確定,,,,,取得済,秋,秋,,,,2026/8/23
224,キク,花,確定,,,,,取得済,秋,秋,,,,2026/8/23
225,スイセン,花,確定,,,,,取得済,冬,冬,,,,2026/8/23
226,パンジー,花,確定,,,,,取得済,冬,冬,,,,2026/8/23
227,ローズマリー,花,確定,,,,,取得済,冬,冬,,,,2026/8/23
228,サクランボ,果実,確定,,,,,取得済,春・夏・秋・冬,春,,,,2026/8/23
229,梅,果実,確定,,,,,取得済,春・夏・秋・冬,春,,,,2026/8/23
230,モモ,果実,確定,,,,,取得済,春・夏・秋・冬,,,,,2026/8/23
231,マンゴー,果実,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
232,バナナ,果実,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
233,カカオ,果実,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
234,ブドウ,果実,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
235,カキ,果実,確定,,,,,未取得,春・夏・秋・冬,,,,,2026/8/23
236,ナシ,果実,確定,,,,,取得済,春・夏・秋・冬,秋,,,,2026/8/23
237,リンゴ,果実,確定,,,,,取得済,春・夏・秋・冬,秋,,,,2026/8/23
238,ミカン,果実,確定,,,,,取得済,春・夏・秋・冬,冬,,,,2026/8/23
239,レモン,果実,確定,,,,,未取得,春・夏・秋・冬,冬,,,,2026/8/23
240,ユズ,果実,確定,,,,,未取得,春・夏・秋・冬,冬,,,,2026/8/23
241,タマゴ,畜産品,確定,,,,,取得済,,,,,,2026/8/23
242,アヒルのタマゴ,畜産品,確定,,,,,取得済,,,,,,2026/8/23
243,七面鳥のタマゴ,畜産品,確定,,,,,取得済,,,,,,2026/8/23
244,牛乳,畜産品,確定,,,,,取得済,,,,,,2026/8/23
245,ヤギミルク,畜産品,確定,,,,,取得済,,,,,,2026/8/23
246,羊毛,畜産品,確定,,,,,取得済,,,,,,2026/8/23
247,カシミヤ,畜産品,確定,,,,,未取得,,,,,,2026/8/23
248,トリュフ,畜産品,確定,,,,,取得済,,,,,,2026/8/23
249,馬尾,畜産品,確定,,,,,未取得,,,,,,2026/8/23
250,鳥の羽毛,畜産品,確定,,,,,取得済,,,,,,2026/8/23
251,牛肉,畜産品,確定,,,,,取得済,,,,,,2026/8/23
252,ヤギ肉,畜産品,確定,,,,,未取得,,,,,,2026/8/23
253,鶏肉,畜産品,確定,,,,,取得済,,,,,,2026/8/23
254,ターキー,畜産品,確定,,,,,取得済,,,,,,2026/8/23
255,豚肉,畜産品,確定,,,,,取得済,,,,,,2026/8/23
256,ラム肉,畜産品,確定,,,,,未取得,,,,,,2026/8/23
257,馬肉,畜産品,確定,,,,,未取得,,,,,,2026/8/23
258,牛皮,畜産品,確定,,,,,取得済,,,,,,2026/8/23
259,牛角,畜産品,確定,,,,,未取得,,,,,,2026/8/23
260,ヤギ角,畜産品,確定,,,,,未取得,,,,,,2026/8/23
261,カシミヤ角,畜産品,確定,,,,,未取得,,,,,,2026/8/23
262,豚皮,畜産品,確定,,,,,未取得,,,,,,2026/8/23
263,馬蹄,畜産品,確定,,,,,未取得,,,,,,2026/8/23
264,ニワトリの尾羽根,畜産品,確定,,,,,取得済,,,,,,2026/8/23
265,アヒルの白羽,畜産品,確定,,,,,未取得,,,,,,2026/8/23
266,七面鳥の尾羽根,畜産品,確定,,,,,未取得,,,,,,2026/8/23
267,モチ,加工品,確定,,,,,取得済,,,,,,2026/8/23
268,アスパラガスの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
269,タマネギの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
270,サヤエンドウの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
271,エンドウ豆の漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
272,カブの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
273,ジャガイモの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
274,ラディッシュの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
275,キャベツの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
276,レタスの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
277,ニンジンの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
278,白ネギの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
279,トマトの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
280,ナスの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
281,ピーマンの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
282,カボチャの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
283,キュウリの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
284,トウモロコシの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
285,ショウガの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
286,ニンニクの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
287,もやしの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
288,エダマメの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
289,サトイモの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
290,サツマイモの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
291,シイタケの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
292,シメジの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
293,キクラゲの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
294,オリーブの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
295,ハクサイの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
296,ダイコンの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
297,ホウレンソウの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
298,ワサビの漬物,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
299,レンコンの漬物,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
300,イチゴジャム,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
301,スイカジャム,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
302,メロンジャム,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
303,ブルーベリージャム,加工品,確定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
304,パイナップルジャム,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
305,サクランボジャム,加工品,確定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
306,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
307,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
308,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
309,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
310,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
311,ナシジャム,加工品,未特定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
312,リンゴジャム,加工品,未特定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
313,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
314,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
315,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
316,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
317,梅干し,加工品,未特定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
318,,,未特定,,,,,未取得,,,,0643 | 漬物樽,,2026/8/23
319,納豆,加工品,未特定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
320,ヨーグルト,加工品,未特定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
321,魚醤,加工品,未特定,,,,,取得済,,,,0643 | 漬物樽,,2026/8/23
322,チーズ,加工品,未特定,,,,,取得済,,,,0645 | ミルク加工機,,2026/8/23
323,生クリーム,加工品,未特定,,,,,取得済,,,,0645 | ミルク加工機,,2026/8/23
324,バター,加工品,未特定,,,,,取得済,,,,0645 | ミルク加工機,,2026/8/23
325,豆腐,加工品,未特定,,,,,取得済,,,,0645 | ミルク加工機,,2026/8/23
326,マヨネーズ,加工品,未特定,,,,,取得済,,,,0647 | マヨネーズ加工機,,2026/8/23
327,アスパラガスの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
328,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
329,エンドウ豆の出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
330,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
331,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
332,ラディッシュの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
333,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
334,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
335,ニンジンの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
336,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
337,トマトの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
338,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
339,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
